# MASTER section 8's sender-side eph_window formula, as a table of KNOWN ANSWERS.
#
#   t = floor(sent_at_ms / (eph_bucket_seconds[b] * 1000))    for b in 1..5
#   t = 0                                                      for b = 0, by definition
#   refused                                                    for b off the ladder
#
# WHY A TABLE AND NOT A CALL. The formula exists at more than one site on purpose, and the
# duplication is forced rather than careless: Spec B section 2.2 allows the message-server
# module connect/message and connect/protocol and nothing else, so the harness that plays the
# sender CANNOT link connect/messagegroup's shipped EphWindowAt, and section 12.1 hands it the
# divisor without the division. A test that compared the two directly would need the import the
# dependency rule forbids. What CAN cross a forbidden import is a value. This file is that
# value: one table, pinned here, that each copy of the formula is driven over in its own
# repository.
#
# THIS FILE IS msgrepo's HALF. connect owes the other half -- a byte-identical copy of this
# table and a test that drives connect/messagegroup.EphWindowAt over it. Until that lands, this
# table binds msgrepo's two copies (harness.EphWindowAt and api's fixture helper) to each other
# and to these values, and it binds connect only by inspection. Ledger item 193 carries the
# digest and what is owed; nothing in THIS repository can make connect's half red, and no test
# here claims to.
#
# THE ANSWERS WERE NOT READ OUT OF THE CODE THEY CHECK. They were computed from the sentence
# above, independently, and then confirmed against connect/messagegroup.EphWindowAt in a
# throwaway module outside both repositories -- the only place the two may be imported together.
# A table generated from the implementation under test is a table that agrees with a bug.
#
# WHAT THIS TABLE IS FOR, historically. Before 2026-09-13 the harness copy read
# `if seconds <= 0 { return 0, nil }`, which collapsed the off-ladder answer and the transient
# rung's answer into one -- the sentinel collision M1-27's second half was ruled to eliminate,
# reintroduced one repository over. Under that reading the two copies disagreed on 9 of the 32
# (bucket, sent_at_ms) pairs probed from a module outside both repositories: (0, -1), and every
# off-ladder pair. Restore that reading and rows of this table go red; the count that goes red
# is asserted by name in the gate rather than written here, because a number in a data file is
# a number nothing re-measures.
#
# FORMAT. Three whitespace-separated fields per row: the bucket byte, the sent_at_ms reading as
# a signed decimal, and the answer -- either the window as an unsigned decimal, or the name of
# the refusal. Lines beginning with # and blank lines are commentary. The refusal names are
# the sentinel's identity and not its message text, because the two repositories prefix their
# messages differently on purpose.
#
# ORDER OF REFUSAL IS PART OF THE ANSWER. Rows (6, -1), (16, -1), (21, -1) and (255, -1) are
# the ones that distinguish the two orders: a copy that tests the clock reading first answers
# ERR_EPH_WINDOW_SENT_AT there, and a copy that tests the ladder first answers
# ERR_EPH_BUCKET_OFF_LADDER. connect answers the second. So does this table.
#
# bucket  sent_at_ms            answer
0       -1                    0
0       0                     0
0       1                     0
0       1767225600000         0
0       9223372036854775807   0
1       -1                    ERR_EPH_WINDOW_SENT_AT
1       0                     0
1       1                     0
1       3599999               0
1       3600000               1
1       3600001               1
1       1767225600000         490896
1       9223372036854775807   2562047788015
2       -1                    ERR_EPH_WINDOW_SENT_AT
2       0                     0
2       1                     0
2       28799999              0
2       28800000              1
2       28800001              1
2       1767225600000         61362
2       9223372036854775807   320255973501
3       -1                    ERR_EPH_WINDOW_SENT_AT
3       0                     0
3       1                     0
3       86399999              0
3       86400000              1
3       86400001              1
3       1767225600000         20454
3       9223372036854775807   106751991167
4       -1                    ERR_EPH_WINDOW_SENT_AT
4       0                     0
4       1                     0
4       604799999             0
4       604800000             1
4       604800001             1
4       1767225600000         2922
4       9223372036854775807   15250284452
5       -1                    ERR_EPH_WINDOW_SENT_AT
5       0                     0
5       1                     0
5       2419199999            0
5       2419200000            1
5       2419200001            1
5       1767225600000         730
5       9223372036854775807   3812571113
6       -1                    ERR_EPH_BUCKET_OFF_LADDER
6       0                     ERR_EPH_BUCKET_OFF_LADDER
6       1767225600000         ERR_EPH_BUCKET_OFF_LADDER
16      -1                    ERR_EPH_BUCKET_OFF_LADDER
16      0                     ERR_EPH_BUCKET_OFF_LADDER
16      1767225600000         ERR_EPH_BUCKET_OFF_LADDER
21      -1                    ERR_EPH_BUCKET_OFF_LADDER
21      0                     ERR_EPH_BUCKET_OFF_LADDER
21      1767225600000         ERR_EPH_BUCKET_OFF_LADDER
255     -1                    ERR_EPH_BUCKET_OFF_LADDER
255     0                     ERR_EPH_BUCKET_OFF_LADDER
255     1767225600000         ERR_EPH_BUCKET_OFF_LADDER
